2025-05-20 15:01:19,Fake Router,10.255.255.1,Maintenance Closet,OFFLINE ❌
2025-05-20 15:01:19,WiFi AP Gate 3,192.168.0.50,Gate 3,OFFLINE ❌
2025-05-20 15:01:19,Fake Router,10.255.255.1,Maintenance Closet,OFFLINE ❌
2025-05-20 15:01:19,Check-in Counter 1,192.168.0.10,Terminal A,OFFLINE ❌
2025-05-20 15:01:19,WiFi AP Gate 3,192.168.0.50,Gate 3,OFFLINE ❌
2025-05-20 15:01:19,Fake Router,10.255.255.1,Maintenance Closet,OFFLINE ❌
2025-05-20 15:01:21,Server Room Switch,192.168.0.1,Server Room,OFFLINE ❌
2025-05-20 15:01:22,Check-in Counter 1,192.168.0.10,Terminal A,OFFLINE ❌
2025-05-20 15:01:22,WiFi AP Gate 3,192.168.0.50,Gate 3,OFFLINE ❌
2025-05-20 15:01:22,Fake Router,10.255.255.1,Maintenance Closet,OFFLINE ❌
2025-05-20 15:01:30,Server Room Switch,192.168.0.1,Server Room,OFFLINE ❌
2025-05-20 15:01:30,Server Room Switch,192.168.0.1,Server Room,OFFLINE ❌
2025-05-20 15:01:30,Server Room Switch,192.168.0.1,Server Room,OFFLINE ❌
2025-05-20 15:01:31,Check-in Counter 1,192.168.0.10,Terminal A,OFFLINE ❌
2025-05-20 15:01:31,Check-in Counter 1,192.168.0.10,Terminal A,OFFLINE ❌
2025-05-20 15:01:32,WiFi AP Gate 3,192.168.0.50,Gate 3,OFFLINE ❌
2025-05-20 15:01:32,Fake Router,10.255.255.1,Maintenance Closet,OFFLINE ❌
2025-05-20 15:01:32,WiFi AP Gate 3,192.168.0.50,Gate 3,OFFLINE ❌
2025-05-20 15:01:32,Fake Router,10.255.255.1,Maintenance Closet,OFFLINE ❌
2025-05-20 15:01:32,WiFi AP Gate 3,192.168.0.50,Gate 3,OFFLINE ❌
2025-05-20 15:01:32,Fake Router,10.255.255.1,Maintenance Closet,OFFLINE ❌
2025-05-20 15:01:33,Server Room Switch,192.168.0.1,Server Room,OFFLINE ❌
2025-05-20 15:01:34,Check-in Counter 1,192.168.0.10,Terminal A,OFFLINE ❌
2025-05-20 15:01:35,WiFi AP Gate 3,192.168.0.50,Gate 3,OFFLINE ❌
2025-05-20 15:01:35,Fake Router,10.255.255.1,Maintenance Closet,OFFLINE ❌
2025-05-20 15:01:42,Server Room Switch,192.168.0.1,Server Room,OFFLINE ❌
2025-05-20 15:01:42,Check-in Counter 1,192.168.0.10,Terminal A,OFFLINE ❌
2025-05-20 15:01:43,WiFi AP Gate 3,192.168.0.50,Gate 3,OFFLINE ❌
2025-05-20 15:01:43,Fake Router,10.255.255.1,Maintenance Closet,OFFLINE ❌
2025-05-20 15:01:43,Server Room Switch,192.168.0.1,Server Room,OFFLINE ❌
2025-05-20 15:01:43,Server Room Switch,192.168.0.1,Server Room,OFFLINE ❌
2025-05-20 15:01:43,Check-in Counter 1,192.168.0.10,Terminal A,OFFLINE ❌
2025-05-20 15:01:44,Check-in Counter 1,192.168.0.10,Terminal A,OFFLINE ❌
2025-05-20 15:01:44,Fake Router,10.255.255.1,Maintenance Closet,OFFLINE ❌
2025-05-20 15:01:45,Server Room Switch,192.168.0.1,Server Room,OFFLINE ❌
2025-05-20 15:01:45,Check-in Counter 1,192.168.0.10,Terminal A,OFFLINE ❌
2025-05-20 15:01:45,WiFi AP Gate 3,192.168.0.50,Gate 3,OFFLINE ❌
2025-05-20 15:01:45,Fake Router,10.255.255.1,Maintenance Closet,OFFLINE ❌
2025-05-20 15:01:46,WiFi AP Gate 3,192.168.0.50,Gate 3,OFFLINE ❌
2025-05-20 15:01:46,Fake Router,10.255.255.1,Maintenance Closet,OFFLINE ❌
2025-05-20 15:01:54,Server Room Switch,192.168.0.1,Server Room,OFFLINE ❌
2025-05-20 15:01:55,Check-in Counter 1,192.168.0.10,Terminal A,OFFLINE ❌
2025-05-20 15:01:55,WiFi AP Gate 3,192.168.0.50,Gate 3,OFFLINE ❌
2025-05-20 15:01:55,Fake Router,10.255.255.1,Maintenance Closet,OFFLINE ❌
2025-05-20 15:01:55,Server Room Switch,192.168.0.1,Server Room,OFFLINE ❌
2025-05-20 15:01:56,Check-in Counter 1,192.168.0.10,Terminal A,OFFLINE ❌
2025-05-20 15:01:56,Server Room Switch,192.168.0.1,Server Room,OFFLINE ❌
2025-05-20 15:01:57,Server Room Switch,192.168.0.1,Server Room,OFFLINE ❌
2025-05-20 15:01:57,Check-in Counter 1,192.168.0.10,Terminal A,OFFLINE ❌
2025-05-20 15:01:57,WiFi AP Gate 3,192.168.0.50,Gate 3,OFFLINE ❌
2025-05-20 15:01:57,Fake Router,10.255.255.1,Maintenance Closet,OFFLINE ❌
2025-05-20 15:01:57,WiFi AP Gate 3,192.168.0.50,Gate 3,OFFLINE ❌
NE ❌
2025-05-20 15:01:57,Fake Router,10.255.255.1,Maintenance Closet,OFFLINE ❌
2025-05-20 15:01:58,WiFi AP Gate 3,192.168.0.50,Gate 3,OFFLINE ❌
2025-05-20 15:01:58,Fake Router,10.255.255.1,Maintenance Closet,OFFLINE ❌
2025-05-20 15:02:06,Server Room Switch,192.168.0.1,Server Room,OFFLINE ❌
2025-05-20 15:02:07,Check-in Counter 1,192.168.0.10,Terminal A,OFFLINE ❌
2025-05-20 15:02:07,Server Room Switch,192.168.0.1,Server Room,OFFLINE ❌
2025-05-20 15:02:08,WiFi AP Gate 3,192.168.0.50,Gate 3,OFFLINE ❌
2025-05-20 15:02:08,Check-in Counter 1,192.168.0.10,Terminal A,OFFLINE ❌
2025-05-20 15:02:08,Fake Router,10.255.255.1,Maintenance Closet,OFFLINE ❌
2025-05-20 15:02:08,Server Room Switch,192.168.0.1,Server Room,OFFLINE ❌
2025-05-20 15:02:08,Check-in Counter 1,192.168.0.10,Terminal A,OFFLINE ❌
2025-05-20 20:43:10,Server Room Switch,192.168.0.1,Server Room,OFFLINE ❌
2025-05-20 20:43:10,Check-in Counter 1,192.168.0.10,Terminal A,OFFLINE ❌
2025-05-20 20:43:11,WiFi AP Gate 3,192.168.0.50,Gate 3,OFFLINE ❌
2025-05-20 20:43:11,Fake Router,10.255.255.1,Maintenance Closet,OFFLINE ❌
2025-05-20 20:43:11,Server Room Switch,192.168.0.1,Server Room,OFFLINE ❌
2025-05-20 20:43:12,Check-in Counter 1,192.168.0.10,Terminal A,OFFLINE ❌
2025-05-20 20:43:13,WiFi AP Gate 3,192.168.0.50,Gate 3,OFFLINE ❌
2025-05-20 20:43:13,Fake Router,10.255.255.1,Maintenance Closet,OFFLINE ❌
2025-05-20 20:43:22,Server Room Switch,192.168.0.1,Server Room,OFFLINE ❌
2025-05-20 20:43:23,Check-in Counter 1,192.168.0.10,Terminal A,OFFLINE ❌
2025-05-20 20:43:24,WiFi AP Gate 3,192.168.0.50,Gate 3,OFFLINE ❌
2025-05-20 20:43:24,Fake Router,10.255.255.1,Maintenance Closet,OFFLINE ❌
2025-05-20 20:43:24,Server Room Switch,192.168.0.1,Server Room,OFFLINE ❌
